HCS,totpop-log,medhhincome-log,medhvalue-log,male,age_under18,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85pl,race_white,race_black,race_nativeam,race_asian,married,divorced,educ_lesshs,educ_somecoll,educ_college,educ_collpl,urate_all,urate_male,urate_female,HSdropout_male,HSdropout_female,ind_agmining,ind_const,ind_manuf,ind_wholesale,ind_retail,ind_transport,ind_info,ind_FIRE,ind_pro,ind_educhealth,ind_artentertain,ind_otherserve,ind_public,occ_mgmtbiz,occ_pro,occ_healthsupp,occ_protective,occ_food,occ_building,occ_personalcare,occ_sales,occ_officeadmin,occ_farming,occ_constextract,occ_production,occ_transport,income_less10k,income_10k15,income_15k20,income_20k25,income_25k30,income_30k35,income_35k40,income_40k45,income_45k50,income_50k60,income_60k75,income_75k100,income_100k125,income_125k150,income_150kpl,rent_share_income,poverty_under18,poverty_18_64,poverty_65pl,poverty_white,poverty_black,poverty_nativeA,vetshare_18_64,vetshare_65pl,Num-Services,Avg-Satisfaction,Log-Cases,Log-Deaths
405,16.20341134,15.47855525,17.62354398,0.490428169,0.18080804,0.116118937,0.118160666,0.10685424,0.134597639,0.1547534,0.111488495,0.053426045,0.023792543,0.938921424,0.012830548,0.00283239,0.02239258,0.485041966,0.121069251,0.353067738,0.261790196,0.221551284,0.163590787,0.039284091,0.042726584,0.035674804,0.022989448,0.026858701,0.020216671,0.069934458,0.106186376,0.02357812,0.118749547,0.032694882,0.017565194,0.042554461,0.085343798,0.299234638,0.102635626,0.043233416,0.038072814,0.145206979,0.266083647,0.03257968,0.014950111,0.059487373,0.04352237,0.029201429,0.094389157,0.10688495,0.009548669,0.083088221,0.062347027,0.052710389,0.048670532,0.04846133,0.049641466,0.047969397,0.045188573,0.049691988,0.043911344,0.040748925,0.040903872,0.081869417,0.106327195,0.137131283,0.091277671,0.056818988,0.111388018,0.191492594,0.140566666,0.113809295,0.069479137,0.106726317,0.235529203,0.186034589,0.033187436,0.046483432,6.382656873,0.930852614,4.807354922,1.584962501
436,16.28726811,15.47855525,17.65987989,0.501339948,0.218235981,0.098295158,0.133616741,0.11887688,0.120815289,0.140950413,0.100601797,0.048801669,0.019806076,0.910381658,0.00570203,0.039080575,0.008552907,0.51535638,0.127101074,0.341810466,0.327986606,0.217100069,0.113102865,0.038573456,0.043472082,0.033266237,0.048358375,0.045445034,0.040882481,0.080172239,0.047761454,0.025204572,0.121674163,0.048535545,0.017679442,0.061699055,0.090821736,0.238253801,0.113275613,0.051994133,0.062045768,0.150320458,0.221454437,0.032607199,0.018379404,0.067902965,0.040100211,0.029861845,0.103467035,0.115852313,0.011166978,0.102506465,0.037821442,0.068559251,0.060325353,0.04982976,0.047962716,0.055680725,0.05431168,0.052867862,0.050040158,0.050403652,0.043155288,0.084243461,0.109441418,0.122704302,0.083874468,0.047244187,0.087914974,0.180147827,0.141753711,0.130647261,0.079876819,0.115497646,0.194542336,0.26667634,0.058285253,0.050922564,6.309517157,0.853155588,6.442943496,2
437,16.13677826,15.47855525,17.52627201,0.512750037,0.229990937,0.129416192,0.158817516,0.114875242,0.110448246,0.119535086,0.074221431,0.041195908,0.021499439,0.877383273,0.032637414,0.033711579,0.016859035,0.507662333,0.096155629,0.326736953,0.358771639,0.224487171,0.090004243,0.032055145,0.03579338,0.028184822,0.047214462,0.039558718,0.066017467,0.072697967,0.06727397,0.034094106,0.119448951,0.05691344,0.014947964,0.056823551,0.072521847,0.264216767,0.085343453,0.042510639,0.047189876,0.146607912,0.214268063,0.039185719,0.015974331,0.058291139,0.034663786,0.032842751,0.098533493,0.113349122,0.01004288,0.105189672,0.048378496,0.082672635,0.056278819,0.042998604,0.040406932,0.04073492,0.044567969,0.04402601,0.043940689,0.046669311,0.042127838,0.076364381,0.103488515,0.143006716,0.099312551,0.063625388,0.112451351,0.160365398,0.117218371,0.112479409,0.082633867,0.091175088,0.297257131,0.339791788,0.047965859,0.037007508,7.439059282,0.914647486,7.592457037,4.169925001
438,16.37412824,15.47855525,17.24932517,0.502003406,0.246643541,0.089167245,0.14528315,0.122094078,0.122446412,0.128543552,0.081970612,0.041596,0.022255415,0.879110082,0.037384143,0.030937057,0.018663316,0.516991672,0.110105822,0.368313012,0.333834355,0.209564857,0.088287779,0.030294888,0.032266524,0.028061097,0.053433325,0.029389138,0.027946373,0.072512799,0.127197264,0.032160692,0.124500677,0.041053947,0.017068476,0.090378684,0.069262942,0.23537197,0.085527922,0.043443716,0.033574533,0.144186227,0.202549412,0.028316904,0.013886174,0.052619869,0.039728494,0.028826266,0.10662762,0.128087251,0.007963131,0.08739657,0.08217723,0.077634848,0.051269047,0.047307219,0.040745235,0.042835666,0.047538079,0.056136602,0.047100331,0.049323336,0.044336429,0.082682475,0.106743103,0.151660473,0.098847239,0.047786739,0.085688022,0.153403871,0.136534118,0.106220361,0.083264337,0.084106877,0.227695024,0.499810611,0.041463535,0.03935894,12.92963167,0.853059374,7.584962501,3.584962501
442,17.04613481,15.47855525,17.86503426,0.505924483,0.210806258,0.131186403,0.14449011,0.118467107,0.116782291,0.128209389,0.089624784,0.042494086,0.01793957,0.908346881,0.013983754,0.007204312,0.01760195,0.510173393,0.114229269,0.282434407,0.336367275,0.232312841,0.148885481,0.049414459,0.051461739,0.046837442,0.041250689,0.022843608,0.037871289,0.070778482,0.066829694,0.018066612,0.124011472,0.051055026,0.01961208,0.046839588,0.10301233,0.246188326,0.098282774,0.045736415,0.071715906,0.154250579,0.24873828,0.026690803,0.020077445,0.06207926,0.03839771,0.027526364,0.098492226,0.108453251,0.009082968,0.096611265,0.036969758,0.072630092,0.053255112,0.03940191,0.043028364,0.046606459,0.046323763,0.043991744,0.045415744,0.041949998,0.039411675,0.07823133,0.102585167,0.140233521,0.10287781,0.06502933,0.111658069,0.197146078,0.117009585,0.133380528,0.072112689,0.116499472,0.167320872,0.212084005,0.055957966,0.044841912,9.889350441,0.764711389,5.781359714,1.584962501
459,19.31290569,15.79998223,19.06621813,0.502415578,0.215046029,0.09142062,0.146412518,0.125150586,0.123615547,0.126247636,0.096277689,0.048069169,0.027760202,0.239856719,0.019811329,0.001979737,0.388434274,0.499395113,0.091048941,0.354842138,0.315173767,0.217514712,0.112469396,0.044962345,0.046996822,0.042768748,0.037645845,0.031175404,0.01331735,0.072918308,0.030852998,0.022576865,0.115159051,0.059829998,0.015492271,0.06709141,0.100743027,0.208372859,0.158564724,0.043565135,0.091516016,0.137121163,0.210029417,0.026608329,0.031583842,0.081479362,0.057193389,0.029616397,0.111838913,0.124031973,0.007544998,0.08601726,0.028340145,0.068594808,0.051864428,0.029156194,0.029391894,0.030628689,0.031110735,0.033819757,0.032816746,0.037151025,0.031209516,0.067447306,0.098327261,0.140651965,0.112650285,0.082706873,0.191067326,0.241714076,0.122106611,0.093612095,0.079524919,0.086846419,0.135813447,0.234900876,0.055716141,0.044638695,7.268796251,0.838306972,7.033423002,2
460,18.0543107,15.83314753,17.72711852,0.486109938,0.214609093,0.090001563,0.128865556,0.114619386,0.133263411,0.138211616,0.106714129,0.053543496,0.020171753,0.703212792,0.198076075,0.004005368,0.037125901,0.477240565,0.110654226,0.440621333,0.272138053,0.173797702,0.113442905,0.065360141,0.068268607,0.062323998,0.05104838,0.036883427,0.012244633,0.06860931,0.079667033,0.021305461,0.123387685,0.046979872,0.01303752,0.076269821,0.088746643,0.246677262,0.115689733,0.043198003,0.064187025,0.143926347,0.220987362,0.03042083,0.02898157,0.066065087,0.040627447,0.034905598,0.102693921,0.116943253,0.00657313,0.085830563,0.047542056,0.07450283,0.057530224,0.039319539,0.040494572,0.045127362,0.045324803,0.047126627,0.043853257,0.042984826,0.038480065,0.077856154,0.104179878,0.137238803,0.094065928,0.060509866,0.125908095,0.207000433,0.192082596,0.119993122,0.072239139,0.096379479,0.209343088,0.234975864,0.042197158,0.04689533,8.185826382,0.822586424,7.988684687,4.247927513
463,17.286783,16.16633834,17.9557932,0.519825923,0.247939171,0.106708007,0.166696596,0.1272039,0.123974157,0.124140863,0.070074228,0.024868648,0.008394425,0.708478002,0.040616086,0.072136236,0.060780657,0.499968,0.117147113,0.315878139,0.368072175,0.198290627,0.117759072,0.067826012,0.073347831,0.061595097,0.031054772,0.027937614,0.038235929,0.07545518,0.020957937,0.018958603,0.114902409,0.079127577,0.02439169,0.036807991,0.087243153,0.24616762,0.095938374,0.047163937,0.114649592,0.141305453,0.238628885,0.035687562,0.02280023,0.056373758,0.031632544,0.028671653,0.084231237,0.126020414,0.00584938,0.113647285,0.031054285,0.08409731,0.036850753,0.027408214,0.027567478,0.031100957,0.03259991,0.033767827,0.033013461,0.039358721,0.032878134,0.069858874,0.107093202,0.14345958,0.118688077,0.082410826,0.18394398,0.187801481,0.127840103,0.086012019,0.051622342,0.068238484,0.173055502,0.16910894,0.100017552,0.038894952,5.372070713,0.820409958,6.539158811,1
501,17.71579054,15.50482931,17.32869344,0.493682318,0.226356238,0.090497121,0.13723141,0.120923351,0.123275292,0.134564851,0.100386992,0.048853413,0.017911342,0.733283551,0.02162297,0.100515041,0.017547426,0.447252205,0.136305152,0.377863273,0.325177404,0.165899949,0.131059379,0.069532872,0.076957695,0.061768573,0.067248225,0.060301834,0.031271128,0.070491143,0.038272536,0.018839475,0.119131956,0.038226616,0.016867342,0.05149535,0.119036019,0.252557165,0.116146342,0.052113877,0.075551054,0.136708881,0.236656664,0.042527968,0.026451747,0.065611438,0.041654163,0.028433999,0.10513515,0.122236461,0.004358907,0.100659799,0.033531145,0.056033675,0.085998856,0.054605285,0.054207297,0.055371323,0.055093575,0.052272061,0.047447719,0.045462655,0.04380944,0.080626386,0.096640607,0.118070574,0.078278312,0.044867184,0.087248724,0.206939163,0.248837299,0.172546539,0.113604197,0.152299839,0.18699402,0.297049549,0.050503197,0.048153909,8.613925705,0.809252845,7.483815777,3.906890596
503,16.76212513,15.47268766,16.79453268,0.506509367,0.184348607,0.1270418,0.117762028,0.111842685,0.130195398,0.142110788,0.102392931,0.057506561,0.026799207,0.929435574,0.030589975,0.001076925,0.01787226,0.481766006,0.094575735,0.519006059,0.232666561,0.148516084,0.099811291,0.058668086,0.063418486,0.053214978,0.046728008,0.029889815,0.023681274,0.063216036,0.098254457,0.024405236,0.123372626,0.059466862,0.013369241,0.040468613,0.068160123,0.301350848,0.087362118,0.048910711,0.047981852,0.114448346,0.227394133,0.041420177,0.022466666,0.066317933,0.03626125,0.02355253,0.096034098,0.116164313,0.006527488,0.092641368,0.063334758,0.093436939,0.075827749,0.058162101,0.061448978,0.056555234,0.057589568,0.053019208,0.053673939,0.047426926,0.045968397,0.078176372,0.10551067,0.126097775,0.078448048,0.03948962,0.062605412,0.174505217,0.200613186,0.164640044,0.078800853,0.144255737,0.445240562,0.357707954,0.040993976,0.047771294,10.46480781,0.953912473,6.044394119,1
504,17.19896098,15.42510806,16.7338717,0.506144092,0.25491629,0.140259136,0.15444347,0.118675981,0.107397918,0.104670015,0.067344917,0.037210851,0.015081437,0.774239237,0.07417482,0.009632225,0.027997979,0.447530194,0.120841095,0.449532053,0.31703621,0.150634478,0.082797263,0.047683812,0.044635381,0.051313129,0.07230824,0.043883629,0.034685089,0.073325141,0.07713167,0.030048977,0.124940799,0.049872723,0.015599958,0.051659554,0.072133892,0.255116809,0.106195479,0.053447092,0.055842825,0.115207726,0.199862109,0.03575706,0.024304214,0.069372169,0.042312796,0.026458151,0.10957115,0.109934762,0.013406101,0.106631948,0.057838848,0.089342974,0.086969654,0.055747327,0.055544477,0.05832961,0.061407563,0.059942799,0.051438386,0.045390235,0.04873266,0.083893455,0.099910135,0.114759194,0.070422179,0.038343814,0.069168505,0.217261256,0.24131088,0.190761444,0.106607239,0.17137704,0.280848639,0.239432302,0.052931887,0.031359343,7.88489533,0.74352594,7.686500527,2.807354922
506,18.43612947,15.5324436,16.87028074,0.489854401,0.221129575,0.109893377,0.130278442,0.11712713,0.131186028,0.135425746,0.090260175,0.04481295,0.019886581,0.755848196,0.162379455,0.003400702,0.027816829,0.444415034,0.126376444,0.371593293,0.335637565,0.168534447,0.124234695,0.07626252,0.081593138,0.070700033,0.046449387,0.027686825,0.00518816,0.048896601,0.15920451,0.020968561,0.117329642,0.046548548,0.015183716,0.04362473,0.090457454,0.277557887,0.097669611,0.046026251,0.03134433,0.127557502,0.237903144,0.039218672,0.017436702,0.064166495,0.035913085,0.027943744,0.097295185,0.112443624,0.001987643,0.069292514,0.08797173,0.080869964,0.083667815,0.054709924,0.052872939,0.056360412,0.051790626,0.053235907,0.047545433,0.048495037,0.04261459,0.077641724,0.098688864,0.113243767,0.078579923,0.047734322,0.092818716,0.18685679,0.246414399,0.17406554,0.082126032,0.132416016,0.343746584,0.247542612,0.033367201,0.036052702,7.359547652,0.825756359,8.357552005,4.906890596
508,18.93571761,15.83221886,17.47302403,0.481949582,0.2487608,0.094231174,0.145393068,0.141422465,0.141631568,0.115318359,0.071602805,0.030596542,0.011043224,0.496593065,0.37591239,0.003777515,0.059224658,0.454910996,0.108620791,0.350234704,0.272453635,0.233625859,0.143685798,0.06132404,0.058729647,0.064033028,0.054794449,0.032941476,0.003019605,0.062928985,0.083485161,0.030250369,0.113289861,0.07345253,0.029878179,0.069534043,0.14523775,0.199342265,0.097481873,0.049522142,0.042577227,0.174184495,0.226461054,0.020913737,0.01957217,0.056653306,0.036045935,0.02672867,0.11290474,0.117145976,0.001648448,0.075950233,0.047307971,0.084483268,0.05665566,0.036294164,0.040200217,0.043715278,0.045262515,0.0461548,0.043778181,0.045377833,0.041369445,0.078597559,0.102835725,0.130769617,0.090591255,0.057990015,0.140407736,0.208855283,0.206131988,0.122008224,0.088554671,0.103964283,0.177797327,0.214735018,0.0429611,0.028102383,3.73503316,0.810670879,10.39339046,5.754887502
509,17.33440848,15.27085419,16.79145836,0.48316335,0.219687959,0.135207678,0.150357119,0.114275219,0.115861979,0.123490053,0.084863224,0.040429492,0.015827263,0.52328451,0.417943025,0.002796087,0.018102531,0.394495513,0.114533124,0.445543342,0.298207445,0.151142484,0.105106721,0.090072375,0.09825265,0.082349798,0.044439732,0.021477041,0.009343239,0.060869144,0.103433551,0.017574207,0.131206632,0.052187174,0.014532305,0.039082929,0.10226225,0.25494538,0.112416256,0.047710129,0.054436785,0.107179128,0.218746333,0.030553742,0.026245372,0.072394365,0.050441722,0.024288697,0.112191097,0.119554212,0.003484948,0.083562055,0.075219595,0.076138738,0.106141,0.069210169,0.063228713,0.060547914,0.059362099,0.059134949,0.050860542,0.05144423,0.042593626,0.0792299,0.089438964,0.110665577,0.06572847,0.03740007,0.055013776,0.234142797,0.324856212,0.218044156,0.099185251,0.165686405,0.30116601,0.236620245,0.065730719,0.040443337,7.831677308,0.832800936,9.06608919,4.95419631
512,19.02329001,16.08304189,17.8788287,0.483525276,0.2172403,0.090416602,0.148714697,0.124539158,0.136400885,0.132572856,0.087513475,0.043657474,0.018944549,0.615283149,0.293861681,0.002201175,0.039094924,0.446641803,0.106612029,0.369024088,0.263846175,0.210569106,0.156560617,0.058831569,0.062146338,0.055627917,0.042790284,0.031442931,0.003746897,0.061900024,0.05193076,0.02266833,0.103115585,0.048906471,0.019053888,0.062560088,0.137207363,0.24914257,0.088670314,0.050603991,0.100493721,0.176297682,0.267031218,0.029091266,0.02991682,0.052256713,0.031360065,0.028216554,0.096506765,0.119873216,0.001627538,0.069715892,0.031334048,0.066772219,0.054358096,0.032290159,0.033550492,0.032537696,0.033750427,0.036063379,0.034850998,0.036552897,0.034747798,0.07061927,0.094761104,0.130532042,0.10585064,0.077729952,0.191805049,0.212127472,0.144873173,0.100018298,0.084300454,0.078532846,0.14617087,0.215809404,0.050626286,0.038600562,6.971986108,0.845705422,8.807354922,5.044394119
515,18.20127114,15.58478322,16.94281833,0.491368472,0.230761835,0.111636716,0.137938637,0.118324517,0.12526087,0.129510502,0.084818882,0.041665052,0.020082996,0.790614964,0.114257744,0.004968624,0.030402963,0.464534715,0.119094333,0.36910315,0.327711854,0.190437771,0.112747233,0.061710842,0.064276171,0.058988666,0.044840136,0.02610418,0.010864728,0.046729254,0.191784329,0.02544704,0.111403706,0.04047727,0.013687901,0.052498436,0.08787791,0.238321079,0.096849569,0.048223518,0.035835257,0.137052193,0.209719755,0.03480774,0.015365026,0.063092115,0.038738447,0.02719742,0.098061091,0.115122249,0.006600886,0.067451379,0.111010243,0.075781454,0.068680498,0.046872999,0.05212679,0.0537198,0.053000179,0.054258302,0.050002205,0.049479474,0.044401708,0.08209113,0.109553668,0.120553439,0.081671846,0.048861389,0.084726579,0.182946254,0.214647081,0.155485677,0.080547901,0.12285879,0.326056557,0.269973616,0.034855211,0.038453557,7.486282032,0.835949181,7.276124405,4
